,link
0,https://www.nytimes.com/2023/04/10/us/louisville-kentucky-shooting.html
1,https://www.npr.org/2023/04/12/1169444850/justin-pearson-vote-memphis-tennessee-house
2,https://www.cnn.com/2023/04/12/us/justin-pearson-tennessee-house-vote/index.html
3,https://www.npr.org/2023/04/13/1169646967/fort-lauderdale-rain-airport-closed-schools
4,https://www.usatoday.com/story/sports/golf/masters/2023/04/08/2023-masters-sunday-tee-times-pairings-tv-streams/11629619002/
5,https://www.cnn.com/2023/04/04/politics/donald-trump-arraignment-new-york/index.html
6,https://timesofindia.indiatimes.com/sports/cricket/ipl/csk-vs-rr-live-score-ipl-2023-match-17-chennai/liveblog/99436017.cms
7,https://www.cnn.com/2023/04/13/tech/arrest-murder-bob-lee/index.html
8,https://www.cnn.com/2023/04/13/us/richmond-indiana-recycling-plant-fire-thursday/index.html
9,https://www.cnn.com/2023/04/12/asia/north-korea-missile-japan-intl-hnk/index.html
10,https://www.nytimes.com/2023/04/10/us/louisville-kentucky-shooting.html
11,https://www.npr.org/2023/04/12/1169444850/justin-pearson-vote-memphis-tennessee-house
12,https://www.cnn.com/2023/04/12/us/justin-pearson-tennessee-house-vote/index.html
13,https://www.npr.org/2023/04/13/1169646967/fort-lauderdale-rain-airport-closed-schools
14,https://www.usatoday.com/story/sports/golf/masters/2023/04/08/2023-masters-sunday-tee-times-pairings-tv-streams/11629619002/
15,https://www.cnn.com/2023/04/04/politics/donald-trump-arraignment-new-york/index.html
16,https://timesofindia.indiatimes.com/sports/cricket/ipl/csk-vs-rr-live-score-ipl-2023-match-17-chennai/liveblog/99436017.cms
17,https://www.cnn.com/2023/04/13/tech/arrest-murder-bob-lee/index.html
18,https://www.cnn.com/2023/04/13/us/richmond-indiana-recycling-plant-fire-thursday/index.html
19,https://www.cnn.com/2023/04/12/asia/north-korea-missile-japan-intl-hnk/index.html
20,https://www.nytimes.com/2023/04/10/us/louisville-kentucky-shooting.html
21,https://www.npr.org/2023/04/12/1169444850/justin-pearson-vote-memphis-tennessee-house
22,https://www.cnn.com/2023/04/12/us/justin-pearson-tennessee-house-vote/index.html
23,https://www.npr.org/2023/04/13/1169646967/fort-lauderdale-rain-airport-closed-schools
24,https://www.usatoday.com/story/sports/golf/masters/2023/04/08/2023-masters-sunday-tee-times-pairings-tv-streams/11629619002/
25,https://www.cnn.com/2023/04/04/politics/donald-trump-arraignment-new-york/index.html
